Target_genes	Stat6|Average	SRX197271|Macrophages	SRX197272|Macrophages	SRX6432727|Macrophages	SRX6432728|Macrophages	SRX021632|Th1_Cells	SRX021633|Th1_Cells	SRX191132|Th9	SRX353406|Th9	SRX353407|Th9	STRING
Lnpep	112.333333	0	0	258	213	213	0	0	121	206	0
Reep5	112.222222	0	842	0	168	0	0	0	0	0	0
Olfr433	112.222222	0	129	0	0	153	0	0	728	0	0
Tmed10	112.111111	0	0	0	0	562	265	0	99	83	0
Psmd3	112.000000	0	0	0	113	319	0	0	195	381	0
Nudt15	112.000000	0	90	171	157	258	0	0	124	208	0
Ccng2	112.000000	0	0	196	218	188	0	133	0	273	0
Chordc1	111.888889	0	0	119	176	178	0	0	181	353	0
C130050O18Rik	111.888889	0	840	167	0	0	0	0	0	0	0
Plcg2	111.666667	280	152	0	0	430	143	0	0	0	0
Mccc2	111.666667	0	0	0	0	525	480	0	0	0	0
Srfbp1	111.111111	0	0	0	0	425	192	0	160	223	0
Med4	110.888889	0	198	0	0	251	0	104	187	258	0
Gas2l3	110.777778	0	381	224	392	0	0	0	0	0	0
Phf20l1	110.666667	0	0	0	0	662	334	0	0	0	0
Cd83	110.555556	0	0	0	0	233	0	83	308	371	0
Tspan4	110.444444	0	0	434	560	0	0	0	0	0	0
Pex3	110.444444	0	0	120	110	255	0	100	151	258	0
Adat2	110.444444	0	0	120	110	255	0	100	151	258	0
Pdxdc1	110.111111	0	204	111	293	0	0	0	257	126	0
Mpv17l	110.111111	0	204	111	293	0	0	0	257	126	0
Pbxip1	109.777778	0	0	0	0	718	270	0	0	0	0
Tmem181a	109.666667	0	0	0	0	633	354	0	0	0	0
Psma1	109.666667	0	0	199	165	280	0	0	142	201	0
Trim25	109.555556	0	0	0	0	511	388	0	0	87	0
Arhgap35	109.444444	0	0	0	0	669	316	0	0	0	0
Dusp1	109.333333	0	0	0	0	668	316	0	0	0	0
Rbbp6	109.222222	0	0	0	0	528	227	104	0	124	0
Ppp1r15a	109.222222	0	0	0	164	311	255	0	132	121	0
Plekha4	109.222222	0	0	0	164	311	255	0	132	121	0
Tgtp1	109.111111	0	0	0	0	448	0	0	534	0	0
Runx3	108.888889	0	0	0	0	149	185	0	421	225	0
Pes1	108.888889	0	409	0	0	220	233	0	0	118	0
Enthd1	108.888889	0	500	0	0	291	0	0	189	0	0
Nvl	108.777778	0	0	121	182	176	0	0	218	282	0
5430427O19Rik	108.777778	0	411	123	265	0	0	0	180	0	0
Spata6	108.444444	0	275	0	138	0	0	0	451	112	0
Amz2	108.444444	0	0	0	93	276	111	0	246	250	0
Nol8	108.333333	0	0	0	0	235	112	121	256	251	0
Cenpp	108.333333	0	0	0	0	235	112	121	256	251	0
Mplkip	108.222222	0	0	187	0	214	143	0	132	298	0
Lrp8	108.222222	0	132	0	0	337	0	0	233	272	0
Dennd4c	108.222222	0	255	224	300	117	0	0	0	78	0
Ttc30a2	108.111111	0	973	0	0	0	0	0	0	0	0
M6pr	108.111111	0	0	0	0	144	113	0	292	424	0
Urod	108.000000	0	0	0	0	569	403	0	0	0	0
Srp19	108.000000	0	0	170	107	211	0	148	108	228	0
Mnt	108.000000	0	0	236	407	200	0	0	0	129	0
Hectd3	108.000000	0	0	0	0	569	403	0	0	0	0
Fbxo25	108.000000	0	0	0	0	648	324	0	0	0	0
Dusp19	108.000000	0	0	0	0	392	0	0	181	399	0
Tbc1d17	107.888889	0	0	0	0	349	323	0	141	158	0
Akt1s1	107.888889	0	0	0	0	349	323	0	141	158	0
Kmt2e	107.777778	0	107	0	138	162	0	0	127	436	0
Rom1	107.666667	0	134	0	0	0	0	110	497	228	0
Eml3	107.666667	0	134	0	0	0	0	110	497	228	0
C030006K11Rik	107.555556	0	0	0	0	708	260	0	0	0	0
Ptpdc1	107.444444	0	0	0	0	597	370	0	0	0	0
Hebp2	107.444444	0	256	208	398	0	0	0	0	105	0
Mpv17	107.333333	0	0	0	0	542	424	0	0	0	0
Pip4k2c	107.222222	0	0	0	0	542	423	0	0	0	0
Itgb8	107.222222	0	0	389	576	0	0	0	0	0	0
Thoc6	107.111111	0	0	0	0	428	138	0	166	232	0
Hcfc1r1	107.111111	0	0	0	0	428	138	0	166	232	0
Tox4	107.000000	0	0	0	206	179	84	0	181	313	0
Tm6sf1	107.000000	0	268	0	0	293	0	0	210	192	0
Rab2b	107.000000	0	0	0	206	179	84	0	181	313	0
Ssr1	106.888889	0	0	0	0	681	281	0	0	0	0
Ndufs2	106.666667	0	102	0	0	185	0	116	246	311	0
Atp5g1	106.666667	0	0	0	0	437	296	0	111	116	0
Mtbp	106.555556	0	0	188	143	135	0	0	123	370	0
Mrpl13	106.555556	0	0	188	143	135	0	0	123	370	0
Zcchc7	106.444444	0	0	0	0	392	226	0	144	196	0
Txlna	106.444444	0	233	0	0	146	0	0	282	297	0
Kifc1	106.444444	0	0	0	0	310	132	142	145	229	0
Csf2rb	106.444444	0	584	183	191	0	0	0	0	0	0
Mccc1	106.333333	0	0	0	124	369	212	0	0	252	0
Lrrc51	106.333333	0	0	0	0	282	81	0	140	454	0
Fam174c	106.333333	0	0	0	154	528	275	0	0	0	0
Wdr77	106.222222	278	143	0	0	184	0	0	190	161	0
Atp5pb	106.222222	278	143	0	0	184	0	0	190	161	0
Rheb	106.000000	0	0	0	0	233	155	0	223	343	0
Gzmb	106.000000	0	0	0	0	427	0	0	351	176	0
Rpl22	105.888889	0	0	0	89	358	0	96	160	250	0
Zfp472	105.777778	0	474	0	116	140	0	0	68	154	0
Tlcd1	105.777778	0	0	0	0	119	0	0	400	433	0
Ndufv1	105.777778	0	174	0	0	176	93	151	179	179	0
Hnrnpa3	105.777778	0	0	0	0	528	274	0	0	150	0
Ralb	105.666667	0	0	0	116	458	377	0	0	0	0
Hcfc2	105.666667	0	0	0	0	615	336	0	0	0	0
Cysltr2	105.666667	0	0	0	0	236	0	122	288	305	0
Pi4k2a	105.555556	0	0	183	233	534	0	0	0	0	0
Ift88	105.444444	0	0	0	0	297	179	0	190	283	0
Zpbp2	105.333333	0	0	0	0	0	0	97	615	236	0
Slamf1	105.333333	0	430	0	0	0	0	84	199	235	0
Rchy1	105.222222	0	0	0	132	535	180	0	0	100	0
Kri1	105.222222	0	0	0	0	389	0	0	210	348	0
Cops2	105.111111	0	0	0	138	206	0	145	170	287	0
Scand1	104.888889	0	0	0	0	659	285	0	0	0	0
Hsdl1	104.888889	0	0	0	0	538	314	92	0	0	0
H2ac19	104.888889	0	0	92	0	283	259	128	0	182	0
H2ac18	104.888889	0	0	92	0	283	259	128	0	182	0
Dnaaf1	104.888889	0	0	0	0	538	314	92	0	0	0
Cnbd2	104.888889	0	0	0	0	659	285	0	0	0	0
Snap29	104.777778	0	0	0	0	453	386	0	0	104	0
Pi4ka	104.777778	0	0	0	0	453	386	0	0	104	0
Cdk11b	104.777778	0	0	0	0	193	117	119	253	261	0
Banp	104.777778	0	0	0	0	210	0	0	226	507	0
Nol11	104.666667	0	0	0	0	490	317	0	0	135	0
Fam168b	104.666667	0	0	0	0	671	271	0	0	0	0
Ube4b	104.444444	0	0	0	0	451	489	0	0	0	0
Tctex1d2	104.444444	0	0	151	73	467	249	0	0	0	0
Aifm2	104.333333	0	0	0	939	0	0	0	0	0	0
Net1	104.222222	0	0	0	0	694	244	0	0	0	0
Tnfsf13b	104.111111	0	0	0	0	106	0	0	472	359	0
Tex2	104.111111	0	384	0	159	213	0	0	0	181	0
Nek8	104.000000	0	0	0	0	103	0	0	400	433	0
Ms4a6d	104.000000	0	697	0	239	0	0	0	0	0	0
Kif3b	104.000000	0	0	0	0	192	0	0	560	184	0
Cdk7	104.000000	0	0	0	171	342	225	0	92	106	0
Arl11	103.888889	0	819	0	116	0	0	0	0	0	0
Ldlrad4	103.777778	0	0	0	0	170	0	0	548	216	0
Tinf2	103.666667	0	0	0	0	382	95	0	251	205	0
Snx20	103.666667	0	0	0	0	452	481	0	0	0	0
Mtf2	103.666667	0	0	0	0	254	0	180	148	351	0
Triap1	103.444444	0	676	0	111	0	0	0	0	144	0
Gatc	103.444444	0	676	0	111	0	0	0	0	144	0
Lrrc8a	103.333333	0	0	0	0	321	199	92	112	206	0
Nupr1	103.222222	0	329	253	347	0	0	0	0	0	0
Npm1	103.222222	0	0	0	0	390	245	101	75	118	0
Ubl7	103.111111	0	0	0	0	169	0	150	433	176	0
Runx1	103.000000	0	344	0	0	175	107	0	134	167	0
Khdrbs1	103.000000	0	0	0	0	479	205	0	134	109	0
Dhx8	102.666667	0	0	0	0	330	0	85	162	347	0
Arhgdib	102.666667	0	386	0	114	253	171	0	0	0	0
Fus	102.444444	0	0	126	0	405	244	0	0	147	0
Tgtp2	102.222222	0	428	0	0	205	0	0	287	0	0
Smim14	102.222222	0	241	0	0	245	107	0	173	154	0
Bcl2a1d	102.222222	0	0	91	163	167	0	0	344	155	0
Hmgn2	102.111111	0	0	0	0	545	374	0	0	0	0
Mgat1	102.000000	0	0	0	0	0	0	0	918	0	0
Nampt	101.888889	0	0	0	0	555	362	0	0	0	0
Sfr1	101.777778	0	0	0	0	365	0	0	191	360	0
Cd53	101.777778	0	424	0	0	206	0	0	286	0	0
Serpina3g	101.666667	0	383	0	130	0	0	93	309	0	0
Qsox2	101.666667	0	0	0	0	499	416	0	0	0	0
Zfp455	101.555556	0	243	0	0	231	0	0	258	182	0
Ube2h	101.555556	0	623	0	165	126	0	0	0	0	0
Fdps	101.555556	0	0	0	0	249	149	0	232	284	0
Ap1m1	101.555556	0	158	0	115	225	0	138	153	125	0
Sel1l	101.444444	0	0	172	311	0	135	0	99	196	0
Rsl24d1	101.444444	0	0	0	0	220	171	332	0	190	0
Fastkd1	101.333333	0	0	0	0	250	127	0	229	306	0
Lamtor5	101.222222	0	0	0	0	489	167	0	100	155	0
Dcun1d5	101.222222	0	270	153	227	174	0	0	0	87	0
Snapin	101.000000	344	109	0	0	138	0	90	0	228	0
Pi16	101.000000	0	516	106	287	0	0	0	0	0	0
Gk	101.000000	0	0	0	0	572	337	0	0	0	0
Zfyve1	100.888889	0	0	0	0	175	0	0	242	491	0
Tctn3	100.777778	0	152	0	0	178	120	0	264	193	0
Pcx	100.777778	0	0	0	83	232	229	0	103	260	0
Entpd1	100.777778	0	152	0	0	178	120	0	264	193	0
Gcc1	100.666667	0	0	0	169	381	0	0	217	139	0
Cnot10	100.555556	0	0	0	246	241	0	0	179	239	0
Snx10	100.444444	0	743	0	161	0	0	0	0	0	0
Laptm4a	100.444444	0	0	0	0	514	235	0	0	155	0
Sbno2	100.333333	0	0	0	0	323	0	0	306	274	0
H4c18	100.333333	0	0	0	0	303	214	94	158	134	0
Ap1g1	100.333333	0	0	0	0	295	159	0	154	295	0
Txlng	100.000000	0	0	0	0	417	315	0	0	168	0
Tbck	99.888889	0	0	190	213	88	0	0	164	244	0
Rbm34	99.888889	0	0	0	149	234	0	0	229	287	0
Armc1	99.888889	0	0	154	0	120	160	0	135	330	0
Aimp1	99.888889	0	0	190	213	88	0	0	164	244	0
Snrpe	99.777778	0	0	0	144	221	0	80	131	322	0
Psmb3	99.777778	0	0	0	0	476	300	0	122	0	0
Tnpo3	99.444444	0	0	153	151	146	0	0	174	271	0
Gtf2a2	99.444444	0	0	0	0	323	0	0	227	345	0
Selenos	99.111111	0	0	0	0	366	388	0	0	138	0
Nr3c1	99.111111	0	0	93	117	199	0	0	296	187	0
Xrcc5	99.000000	0	205	0	114	119	0	0	187	266	0
Vps29	99.000000	0	0	0	0	146	0	124	295	326	0
Rad9b	99.000000	0	0	0	0	146	0	124	295	326	0
Pnpla8	99.000000	0	386	0	166	0	0	0	98	241	0
Sphk2	98.888889	0	0	0	144	240	0	133	131	242	0
Rpl18	98.888889	0	0	0	144	240	0	133	131	242	0
Map2k6	98.888889	0	0	0	0	543	0	0	179	168	0
Eed	98.888889	0	396	0	143	0	0	0	196	155	0
Zfyve19	98.777778	0	0	0	137	119	121	0	175	337	0
Rnf44	98.777778	0	0	0	0	644	245	0	0	0	0
Dnajc17	98.777778	0	0	0	137	119	121	0	175	337	0
Meig1	98.666667	0	387	0	0	294	207	0	0	0	0
Ift46	98.666667	0	0	0	0	269	0	0	222	397	0
Arih2	98.666667	132	511	0	0	139	0	0	0	106	0
Rgs3	98.555556	0	0	0	0	701	0	0	186	0	0
Lpin2	98.555556	0	0	0	0	454	235	0	198	0	0
2410002F23Rik	98.555556	0	0	0	137	277	247	0	88	138	0
Rpgrip1l	98.444444	0	0	0	107	154	0	0	169	456	0
Olfr110	98.444444	0	333	207	346	0	0	0	0	0	0
Mppe1	98.444444	0	167	0	0	242	0	0	151	326	0
Fto	98.444444	0	0	0	107	154	0	0	169	456	0
Txndc12	98.333333	0	0	0	0	566	319	0	0	0	0
Btf3l4	98.333333	0	0	0	0	566	319	0	0	0	0
Acp5	98.333333	0	0	171	602	112	0	0	0	0	0
Spout1	98.222222	0	0	0	0	298	404	0	77	105	0
Sdf4	98.222222	0	0	0	0	442	270	0	0	172	0
B3galt6	98.222222	0	0	0	0	442	270	0	0	172	0
2210016L21Rik	98.222222	0	0	0	0	473	292	0	0	119	0
Mrpl1	98.111111	0	0	0	172	294	0	0	0	417	0
Ctsc	97.777778	0	0	0	139	126	0	110	323	182	0
Slx4ip	97.666667	0	0	0	0	108	76	0	335	360	0
Riok1	97.666667	0	0	0	100	336	97	80	113	153	0
Mkks	97.666667	0	0	0	0	108	76	0	335	360	0
Cage1	97.666667	0	0	0	100	336	97	80	113	153	0
Parp14	97.555556	0	269	77	384	0	0	0	148	0	0
Ap1s2	97.555556	0	0	0	0	480	398	0	0	0	0
Timm9	97.444444	0	117	93	78	289	222	0	0	78	0
2700049A03Rik	97.444444	0	117	93	78	289	222	0	0	78	0
Lrif1	97.333333	0	0	91	166	175	156	0	140	148	0
Hk3	97.333333	0	699	0	177	0	0	0	0	0	0
Ccl3	97.333333	0	495	0	381	0	0	0	0	0	0
Zfp189	97.222222	0	0	0	0	96	0	0	307	472	0
Mrpl50	97.222222	0	0	0	0	96	0	0	307	472	0
Mknk2	97.111111	0	0	0	0	319	223	0	332	0	0
Stk40	97.000000	0	0	177	180	244	0	0	128	144	0
Rps12	97.000000	0	0	152	149	141	0	0	115	316	0
D10Wsu102e	97.000000	0	0	159	199	433	0	0	0	82	0
Zap70	96.666667	0	0	0	0	237	182	160	291	0	0
Fam168a	96.666667	0	0	0	98	154	0	0	130	488	0
Ube2s	96.555556	0	0	0	73	347	368	0	0	81	0
Topors	96.555556	0	0	0	117	425	105	0	86	136	0
Smim27	96.555556	0	0	0	117	425	105	0	86	136	0
Eef2k	96.555556	0	354	0	132	196	187	0	0	0	0
Slc14a1	96.444444	0	612	0	0	0	0	0	256	0	0
Bcas2	96.444444	0	0	0	0	391	340	0	0	137	0
Ythdf1	96.333333	0	0	0	0	607	260	0	0	0	0
Stx16	96.333333	0	0	204	144	201	0	0	146	172	0
Usp16	96.222222	0	0	0	0	399	196	0	125	146	0
Cstf3	96.222222	0	119	99	166	112	0	0	116	254	0
Herpud2	96.111111	0	0	0	0	259	400	0	0	206	0
Slc12a7	96.000000	0	0	0	0	532	332	0	0	0	0
Tbl2	95.888889	0	0	0	0	484	379	0	0	0	0
Pkn3	95.888889	0	0	0	196	0	0	136	238	293	0
Ivns1abp	95.888889	0	0	0	0	424	276	0	0	163	0
Emp1	95.888889	0	0	0	0	262	0	0	388	213	0
Sh3bgrl3	95.777778	0	226	0	0	0	0	0	307	329	0
Pdap1	95.777778	0	0	111	207	0	0	120	180	244	0
Fam124a	95.777778	0	0	146	423	123	0	0	0	170	0
Bud31	95.777778	0	0	111	207	0	0	120	180	244	0
Thoc1	95.666667	0	0	0	135	191	0	132	110	293	0
Dhx33	95.666667	0	0	0	0	329	115	0	156	261	0
Cdk5rap1	95.666667	0	0	0	172	329	0	0	188	172	0
Armcx6	95.666667	0	0	0	0	387	231	0	243	0	0
Zfp512	95.555556	0	0	0	0	323	194	0	100	243	0
Slc39a8	95.555556	0	0	0	0	389	346	0	0	125	0
Clk1	95.555556	0	0	0	0	315	79	152	193	121	0
Pdxk	95.333333	0	0	0	0	411	447	0	0	0	0
Osbpl1a	95.333333	0	0	0	0	553	195	110	0	0	0
Gnpnat1	95.333333	0	479	97	282	0	0	0	0	0	0
Btg1	95.333333	0	0	0	0	416	181	0	87	174	0
Ptpn3	95.222222	0	0	0	0	219	0	0	210	428	0
Ing3	95.222222	0	0	0	134	84	0	0	148	491	0
Nr1d2	95.111111	0	0	0	0	397	218	0	82	159	0
Acap2	95.111111	0	0	0	0	415	321	0	0	120	0
Mterf1b	95.000000	0	0	0	0	142	0	140	224	349	0
Stt3b	94.888889	0	0	0	0	419	314	0	0	121	0
Rhebl1	94.888889	0	0	0	0	514	209	0	0	131	0
Ccdc9	94.888889	0	0	0	0	496	358	0	0	0	0
Polg	94.777778	0	138	0	204	146	0	0	134	231	0
Pcbp2	94.777778	0	0	0	0	112	0	0	284	457	0
Ostm1	94.777778	0	0	0	0	413	315	0	0	125	0
Hoxa1	94.777778	0	0	0	0	576	277	0	0	0	0
Snrnp200	94.666667	0	0	0	137	136	0	0	201	378	0
Pabpc1	94.666667	0	0	0	0	357	268	0	0	227	0
1810024B03Rik	94.666667	0	0	0	137	136	0	0	201	378	0
Traf6	94.555556	0	0	0	0	139	0	0	471	241	0
Kansl1l	94.555556	0	0	0	0	526	325	0	0	0	0
1110004F10Rik	94.555556	0	0	0	0	0	0	0	271	580	0
Tmem242	94.444444	0	134	0	229	135	0	0	91	261	0
Kmt2d	94.444444	0	0	163	180	288	0	0	0	219	0
Tmem185b	94.333333	0	0	0	0	436	287	126	0	0	0
Slc3a2	94.222222	0	123	0	0	400	158	0	0	167	0
Qk	94.222222	0	0	0	0	520	328	0	0	0	0
Eaf2	94.111111	0	0	0	0	340	235	0	131	141	0
Swi5	94.000000	0	0	0	0	419	427	0	0	0	0
Golga2	94.000000	0	0	0	0	419	427	0	0	0	0
Etfdh	94.000000	0	0	0	0	248	111	0	117	370	0
4930579G24Rik	94.000000	0	0	0	0	248	111	0	117	370	0
Slc39a13	93.888889	0	124	0	175	105	0	113	125	203	0
Pigm	93.888889	0	0	0	183	190	0	0	175	297	0
Scly	93.777778	0	0	0	0	446	398	0	0	0	0
Ipo7	93.777778	0	0	0	0	418	207	0	0	219	0
Tatdn2	93.666667	0	0	0	0	216	206	0	317	104	0
Tmem94	93.555556	0	0	0	0	137	0	0	266	439	0
Noc4l	93.555556	0	0	0	0	203	0	136	163	340	0
Ndufs7	93.555556	0	0	0	179	234	0	121	112	196	0
Ippk	93.555556	0	0	0	0	197	0	76	200	369	0
H2bc22	93.555556	0	0	0	0	283	381	0	89	89	0
H2ac22	93.555556	0	0	0	0	283	381	0	89	89	0
Ddx51	93.555556	0	0	0	0	203	0	136	163	340	0
Zcchc8	93.444444	0	0	0	0	124	0	0	342	375	0
Ptdss1	93.444444	0	0	0	0	304	401	0	0	136	0
Pdk2	93.444444	0	0	0	0	457	384	0	0	0	0
Npcd	93.444444	0	0	0	0	492	349	0	0	0	0
Mterf3	93.444444	0	0	0	0	304	401	0	0	136	0
Gabpb2	93.444444	0	0	125	173	143	0	0	131	269	0
Ccdc150	93.444444	0	0	0	0	229	152	0	117	343	0
Cbx6	93.444444	0	0	0	0	492	349	0	0	0	0
Timm22	93.333333	0	0	0	179	109	0	0	199	353	0
Tsr3	93.222222	0	0	0	0	645	194	0	0	0	0
Sh3gl1	93.222222	0	0	176	0	137	60	0	159	307	0
H2bc6	93.222222	0	142	0	0	303	185	99	0	110	0
Gnptg	93.222222	0	0	0	0	645	194	0	0	0	0
Asb6	93.222222	0	0	0	132	212	154	87	114	140	0
Blm	93.111111	0	0	0	0	395	226	0	92	125	0
Invs	92.888889	0	0	0	0	127	0	0	246	463	0
Fbxo48	92.888889	0	173	0	0	109	0	0	197	357	0
Erp44	92.888889	0	0	0	0	127	0	0	246	463	0
Tet2	92.777778	0	0	0	0	323	0	0	349	163	0
Ptcd1	92.777778	0	0	0	0	223	0	114	296	202	0
Cpsf4	92.777778	0	0	0	0	223	0	114	296	202	0
Coa7	92.666667	0	0	0	0	401	280	0	0	153	0
Supt16	92.555556	0	0	0	0	413	248	0	0	172	0
Pemt	92.555556	0	0	0	164	133	0	0	209	327	0
Suco	92.444444	0	0	0	0	234	146	0	234	218	0
Kbtbd3	92.444444	0	0	0	139	194	0	0	176	323	0
F2rl2	92.444444	0	0	0	0	340	0	0	304	188	0
Aasdhppt	92.444444	0	0	0	139	194	0	0	176	323	0
Dnpep	92.333333	0	0	0	0	271	560	0	0	0	0
Oas1g	92.222222	0	725	105	0	0	0	0	0	0	0
Chid1	92.222222	0	552	0	202	76	0	0	0	0	0
Txndc9	92.111111	0	0	0	0	326	345	0	0	158	0
Slc35b4	92.111111	0	0	0	0	108	0	0	264	457	0
Gnb2	92.111111	0	0	0	0	371	149	104	75	130	0
Eif5b	92.111111	0	0	0	0	326	345	0	0	158	0
Lonrf3	92.000000	0	0	0	0	447	381	0	0	0	0
Ilvbl	92.000000	0	0	0	97	507	136	88	0	0	0
Rap2a	91.888889	0	0	310	265	99	0	0	0	153	0
Ppp4r3b	91.888889	0	0	140	0	242	0	0	182	263	0
Diaph2	91.888889	0	116	332	379	0	0	0	0	0	0
Atf2	91.888889	0	0	0	0	325	183	86	0	233	0
Gtpbp4	91.666667	0	0	0	167	222	0	0	177	259	0
Wars2	91.555556	0	0	0	0	323	245	0	106	150	0
Matr3	91.555556	0	0	0	0	517	200	0	0	107	0
Smyd5	91.444444	0	0	0	261	355	0	0	0	207	0
Naa40	91.444444	0	0	0	0	416	169	0	120	118	0
Cited2	91.444444	0	0	199	246	273	0	0	0	105	0
Hif1a	91.333333	0	0	0	0	414	277	0	0	131	0
Fam149b	91.333333	0	0	0	0	356	0	81	95	290	0
Ecd	91.333333	0	0	0	0	356	0	81	95	290	0
Cfp	91.333333	0	258	257	307	0	0	0	0	0	0
Ptp4a1	91.222222	0	102	153	190	255	0	0	0	121	0
Fh1	91.222222	0	143	0	0	182	0	0	248	248	0
Cd28	91.222222	0	0	0	0	248	204	0	238	131	0
Sympk	91.111111	0	0	0	0	163	0	0	245	412	0
Micu1	91.111111	0	0	0	0	411	295	0	0	114	0
Foxa3	91.111111	0	0	0	0	163	0	0	245	412	0
Dazap2	91.111111	0	0	0	0	579	241	0	0	0	0
Ap3d1	91.111111	0	0	0	0	474	346	0	0	0	0
Actr6	91.111111	0	0	0	101	258	0	134	128	199	0
Rpl5	91.000000	0	0	0	0	444	136	0	0	239	0
Map7	91.000000	650	169	0	0	0	0	0	0	0	0
Rps5	90.888889	0	0	0	106	180	164	0	167	201	0
Cyhr1	90.888889	0	0	0	0	581	237	0	0	0	0
Ran	90.777778	0	0	0	0	494	212	0	0	111	0
Cep120	90.777778	0	62	0	122	245	0	0	191	197	0
Usp22	90.666667	0	0	0	103	295	0	0	245	173	0
Tatdn3	90.666667	0	0	0	249	166	0	110	123	168	0
Prkaa1	90.666667	0	245	0	0	0	0	0	571	0	0
Nsl1	90.666667	0	0	0	249	166	0	110	123	168	0
Atg101	90.666667	0	0	191	0	266	0	106	80	173	0
Pop7	90.555556	0	0	0	109	278	165	106	0	157	0
Emsy	90.444444	0	0	0	0	268	228	0	115	203	0
Agtpbp1	90.444444	0	0	0	0	663	0	151	0	0	0
Gfi1	90.333333	0	0	0	0	146	101	0	324	242	0
Wdr76	90.222222	0	524	0	0	136	0	0	0	152	0
Wdr92	90.111111	0	0	0	151	285	134	0	121	120	0
Pno1	90.111111	0	0	0	151	285	134	0	121	120	0
Gbp4	90.000000	0	0	0	0	342	0	0	329	139	0
Pyroxd1	89.888889	0	0	0	0	468	0	105	0	236	0
Hsph1	89.888889	0	0	0	0	245	97	0	94	373	0
Vps37b	89.777778	0	0	0	0	544	264	0	0	0	0
Utp3	89.666667	0	0	0	0	163	0	126	206	312	0
Tubb4b	89.666667	0	0	0	0	325	294	0	95	93	0
Rab3il1	89.555556	0	0	0	0	495	311	0	0	0	0
Nsfl1c	89.555556	0	0	0	0	189	0	84	232	301	0
BC003965	89.444444	0	0	0	0	243	111	0	250	201	0
Usp36	89.333333	0	0	0	179	216	143	0	120	146	0
Prpf4	89.222222	0	0	0	88	168	141	0	175	231	0
Galnt6	89.222222	0	267	109	324	0	0	0	103	0	0
Fem1a	89.222222	0	0	0	0	146	0	0	332	325	0
Cdc26	89.222222	0	0	0	88	168	141	0	175	231	0
AI467606	89.222222	0	0	0	0	384	184	0	0	235	0
Cstf2t	89.111111	0	109	0	227	86	0	0	128	252	0
Cox6b1	89.111111	0	138	0	0	229	0	0	274	161	0
Vps18	88.888889	0	0	0	141	270	119	0	122	148	0
Tsnaxip1	88.888889	0	0	0	0	157	0	0	315	328	0
Ranbp10	88.888889	0	0	0	0	157	0	0	315	328	0
Cep57	88.888889	0	0	0	0	276	325	0	74	125	0
Ctla4	88.777778	0	0	0	0	0	0	80	719	0	0
Cdk5rap2	88.777778	0	0	0	0	93	0	0	208	498	0
Skp1	88.666667	0	0	0	0	318	209	0	79	192	0
Cdca7	88.666667	0	180	0	0	186	0	0	155	277	0
Snrpd3	88.555556	0	0	219	125	93	0	0	118	242	0
Gucd1	88.555556	0	0	219	125	93	0	0	118	242	0
Fn3k	88.555556	0	0	0	0	426	371	0	0	0	0
Spg21	88.444444	0	0	0	135	359	165	0	0	137	0
Raf1	88.444444	0	0	0	0	91	0	0	521	184	0
Polr2j	88.444444	0	194	0	0	224	0	0	164	214	0
C330007P06Rik	88.444444	0	0	0	0	414	295	0	0	87	0
Ipo13	88.222222	0	0	0	178	113	0	0	192	311	0
Rps26	88.111111	0	166	0	138	128	0	126	235	0	0
Ccdc180	88.111111	0	495	134	164	0	0	0	0	0	0
Pak1ip1	88.000000	0	0	0	94	382	184	0	0	132	0
Thg1l	87.888889	0	0	98	181	115	113	0	82	202	0
Rptor	87.888889	0	0	125	0	305	0	0	137	224	0
Taf13	87.777778	0	0	0	124	217	133	0	112	204	0
Nle1	87.666667	0	0	0	0	481	211	0	97	0	0
Eif3a	87.666667	0	0	0	0	500	159	0	0	130	0
Ecm1	87.666667	0	0	0	0	516	273	0	0	0	0
Rnf115	87.555556	0	0	0	0	364	199	88	0	137	0
Polr3c	87.555556	0	0	0	0	364	199	88	0	137	0
Zfp143	87.444444	0	0	264	264	0	0	0	0	259	0
Trp53inp1	87.444444	0	0	0	0	481	212	0	0	94	0
St8sia4	87.444444	0	142	271	262	0	0	0	0	112	0
Tada1	87.333333	0	0	0	0	407	379	0	0	0	0
Rpl34-ps1	87.333333	0	0	0	119	155	0	0	161	351	0
Rpl34	87.333333	0	0	0	119	155	0	0	161	351	0
Lrch3	87.333333	0	223	0	295	119	0	0	0	149	0
Dazap1	87.222222	0	0	0	0	133	317	0	172	163	0
Blcap	87.222222	0	0	0	114	457	0	0	214	0	0
G3bp1	87.111111	0	0	0	0	339	201	0	102	142	0
Ube2j2	86.888889	0	0	0	0	258	0	119	181	224	0
Snx16	86.888889	0	160	0	0	220	0	0	263	139	0
Ndc1	86.777778	0	0	0	0	0	0	0	318	463	0
Itpr1	86.666667	0	0	0	0	282	119	0	0	379	0
Lrrc8d	86.555556	0	0	0	0	237	0	112	186	244	0
Zfp408	86.444444	0	81	110	94	199	0	0	123	171	0
Neu1	86.444444	0	0	0	0	473	305	0	0	0	0
Gpr18	86.444444	0	0	0	0	277	0	0	308	193	0
Epc1	86.444444	0	0	0	0	348	216	0	0	214	0
Ufl1	86.333333	0	117	0	275	150	0	0	0	235	0
Trip4	86.222222	0	0	0	0	177	140	0	217	242	0
Cpped1	86.222222	0	0	137	202	96	0	0	106	235	0
Tpr	86.111111	0	0	146	104	141	0	0	115	269	0
