Target_genes	Stat4|Average	SRX3324130|Natural_Killer_T-Cells	SRX3324132|Natural_Killer_T-Cells	SRX3324134|Natural_Killer_T-Cells	SRX3324136|Natural_Killer_T-Cells	SRX3324138|Natural_Killer_T-Cells	SRX021624|Th1_Cells	SRX021625|Th1_Cells	SRX041279|Th1_Cells	STRING
Rbm27	74.250000	0	0	0	0	0	378	0	216	0
Phf7	74.250000	177	0	155	0	149	113	0	0	0
Dtx4	74.250000	0	0	0	0	0	453	141	0	0
D630039A03Rik	74.250000	0	0	0	0	0	594	0	0	0
Bap1	74.250000	177	0	155	0	149	113	0	0	0
Xpo5	74.125000	167	0	202	0	224	0	0	0	0
Polh	74.125000	167	0	202	0	224	0	0	0	0
Rbbp6	73.750000	167	0	173	0	149	101	0	0	0
Edem2	73.750000	177	0	222	0	191	0	0	0	0
Ppp2r2d	73.625000	217	0	202	0	170	0	0	0	0
Mapk1ip1	73.625000	217	0	202	0	170	0	0	0	0
Jak2	73.625000	188	0	85	0	0	316	0	0	0
Cradd	73.625000	317	0	0	0	0	272	0	0	0
Slc4a4	73.500000	0	0	0	0	0	588	0	0	0
Nr4a2	73.375000	0	0	192	0	0	395	0	0	0
Twf2	73.250000	157	0	103	0	0	326	0	0	0
Thap12	73.250000	292	0	183	0	111	0	0	0	0
Tpgs1	73.125000	332	125	128	0	0	0	0	0	0
Snx3	73.125000	252	0	65	0	0	268	0	0	0
Smarca2	73.125000	206	0	242	0	137	0	0	0	0
Fdxr	73.125000	278	0	95	0	85	127	0	0	0
Azin1	73.125000	131	0	235	0	0	219	0	0	0
Tti2	73.000000	159	133	184	0	0	108	0	0	0
Tex2	73.000000	207	0	183	0	0	194	0	0	0
S100a3	73.000000	134	0	0	0	0	450	0	0	0
Cbwd1	73.000000	139	0	112	0	94	137	102	0	0
Icosl	72.875000	0	0	0	0	0	583	0	0	0
B230219D22Rik	72.875000	197	0	183	0	0	203	0	0	0
Ankhd1	72.750000	151	0	100	0	0	331	0	0	0
Ciao3	72.625000	207	0	183	0	0	191	0	0	0
Ndel1	72.500000	290	0	151	0	139	0	0	0	0
Inpp4b	72.500000	0	0	0	0	0	580	0	0	0
Ddit3	72.500000	195	0	172	0	0	213	0	0	0
Sap30bp	72.375000	157	0	242	0	180	0	0	0	0
Rock1	72.375000	247	0	0	0	85	247	0	0	0
Recql5	72.375000	157	0	242	0	180	0	0	0	0
Foxj1	72.375000	0	0	0	0	0	579	0	0	0
Scp2	72.250000	121	0	0	0	0	457	0	0	0
Rbsn	72.250000	248	0	202	0	0	128	0	0	0
Desi2	72.250000	270	0	155	0	153	0	0	0	0
Dclre1c	72.250000	0	0	0	0	0	578	0	0	0
Copz1	72.125000	301	0	146	0	130	0	0	0	0
Junb	72.000000	144	119	220	0	93	0	0	0	0
Ddx24	72.000000	227	0	155	0	0	194	0	0	0
Asxl2	72.000000	202	0	0	0	102	272	0	0	0
Nfyb	71.875000	255	0	173	0	0	147	0	0	0
Sacm1l	71.750000	233	0	182	0	159	0	0	0	0
Chmp7	71.625000	206	0	155	0	102	110	0	0	0
Stim2	71.500000	0	0	149	0	185	238	0	0	0
Gars	71.500000	220	0	222	0	130	0	0	0	0
Nup214	71.375000	227	0	155	0	0	189	0	0	0
Rps12	71.250000	244	0	219	0	107	0	0	0	0
Rgs3	71.250000	0	0	0	0	0	570	0	0	0
Trim30a	71.125000	170	0	0	0	0	399	0	0	0
Clasp2	71.125000	165	0	0	0	0	404	0	0	0
Rbm7	71.000000	227	0	192	0	149	0	0	0	0
Gm5617	71.000000	227	0	192	0	149	0	0	0	0
Cdk13	71.000000	142	0	163	0	0	263	0	0	0
Prdx4	70.875000	0	0	0	0	0	567	0	0	0
Otulinl	70.875000	191	0	0	0	0	376	0	0	0
Mmut	70.875000	0	0	0	0	0	567	0	0	0
Clptm1	70.875000	264	0	173	0	130	0	0	0	0
Cenpq	70.875000	0	0	0	0	0	567	0	0	0
Cd274	70.875000	221	0	0	0	0	346	0	0	0
Wsb1	70.750000	134	0	226	0	0	206	0	0	0
Lamtor3	70.750000	177	0	212	0	0	177	0	0	0
Noc4l	70.625000	207	0	0	0	0	358	0	0	0
Klf2	70.625000	134	0	156	0	119	156	0	0	0
Ddx51	70.625000	207	0	0	0	0	358	0	0	0
Ankrd17	70.625000	201	0	146	0	0	218	0	0	0
Vta1	70.500000	217	0	137	0	0	210	0	0	0
Kdm4d	70.500000	379	0	0	0	0	185	0	0	0
Hspe1	70.500000	180	0	112	0	127	145	0	0	0
Hspd1	70.500000	180	0	112	0	127	145	0	0	0
Zfc3h1	70.250000	201	0	181	0	180	0	0	0	0
Tpm3	70.250000	274	0	0	0	0	288	0	0	0
Thap2	70.250000	201	0	181	0	180	0	0	0	0
Mtres1	70.250000	0	0	0	0	213	349	0	0	0
Ksr1	70.250000	121	0	0	0	0	441	0	0	0
Ercc2	70.125000	248	0	0	0	0	117	196	0	0
Rnf181	70.000000	248	0	146	0	0	166	0	0	0
Otud7b	70.000000	139	0	128	0	0	293	0	0	0
Lins1	70.000000	78	0	0	0	0	482	0	0	0
Gtpbp4	70.000000	167	0	164	0	0	229	0	0	0
Gm4925	70.000000	0	0	0	0	0	560	0	0	0
Arl1	70.000000	0	0	0	0	0	560	0	0	0
Slfn2	69.875000	0	0	0	0	0	559	0	0	0
Hbp1	69.875000	306	0	133	0	120	0	0	0	0
Xpo6	69.750000	217	0	230	0	111	0	0	0	0
Tmem87a	69.750000	139	0	146	0	0	273	0	0	0
Scaf1	69.750000	239	0	148	0	0	171	0	0	0
Pgghg	69.750000	132	0	0	0	0	426	0	0	0
Ganc	69.750000	139	0	146	0	0	273	0	0	0
Exosc5	69.750000	187	0	212	0	159	0	0	0	0
Bckdha	69.750000	187	0	212	0	159	0	0	0	0
Batf	69.750000	259	0	173	0	0	126	0	0	0
Cipc	69.625000	235	0	191	0	0	131	0	0	0
Cacybp	69.625000	220	0	217	0	0	120	0	0	0
Wee1	69.500000	0	0	0	0	0	556	0	0	0
Vipas39	69.500000	301	0	88	0	0	167	0	0	0
Oser1	69.500000	291	0	137	0	0	128	0	0	0
Amn1	69.500000	0	149	163	0	130	114	0	0	0
Ahsa1	69.500000	301	0	88	0	0	167	0	0	0
Ythdf3	69.375000	0	0	173	0	120	262	0	0	0
Psma6	69.375000	238	0	137	0	180	0	0	0	0
Micos13	69.375000	271	0	134	0	0	150	0	0	0
Ing1	69.375000	152	0	191	0	0	212	0	0	0
Eya2	69.375000	227	0	0	0	0	328	0	0	0
Cops8	69.375000	157	0	0	0	258	140	0	0	0
Ccdc25	69.375000	0	0	0	0	0	555	0	0	0
Usp3	69.250000	248	0	0	0	120	186	0	0	0
Ppan	69.250000	187	0	192	0	0	175	0	0	0
Krr1	69.250000	312	0	242	0	0	0	0	0	0
Ext1	69.250000	141	0	183	0	0	230	0	0	0
Zfp384	69.125000	266	0	98	0	0	189	0	0	0
Sppl2b	69.125000	148	0	0	0	0	405	0	0	0
Rwdd1	69.125000	210	0	128	0	0	215	0	0	0
Lsm7	69.125000	148	0	0	0	0	405	0	0	0
Uvssa	69.000000	139	0	146	0	130	137	0	0	0
Slamf7	69.000000	186	0	0	0	0	366	0	0	0
Ap2m1	69.000000	187	0	164	0	0	201	0	0	0
Tiparp	68.875000	155	0	128	0	0	268	0	0	0
Rbm39	68.875000	271	0	183	0	0	97	0	0	0
Pole3	68.875000	0	0	0	0	0	551	0	0	0
Gimap7	68.875000	284	0	0	0	139	128	0	0	0
Elob	68.875000	368	0	183	0	0	0	0	0	0
4933430I17Rik	68.875000	0	0	0	0	0	551	0	0	0
Ywhae	68.750000	214	0	0	0	0	336	0	0	0
Sh3gl1	68.750000	245	0	206	0	0	99	0	0	0
Rnf168	68.750000	0	0	0	0	0	550	0	0	0
Gtf2h3	68.750000	177	0	0	0	159	214	0	0	0
Eif2b1	68.750000	177	0	0	0	159	214	0	0	0
Smim8	68.625000	244	0	112	0	0	193	0	0	0
Rpl27	68.625000	279	0	146	0	0	124	0	0	0
Inpp5a	68.625000	0	0	0	0	0	549	0	0	0
Akap13	68.625000	0	0	0	0	139	410	0	0	0
Wdpcp	68.500000	171	0	112	0	77	188	0	0	0
Srgap2	68.500000	316	0	107	0	125	0	0	0	0
Rgs1	68.500000	214	0	70	0	0	264	0	0	0
Pofut2	68.500000	197	0	164	0	0	187	0	0	0
Med17	68.500000	248	0	137	0	0	163	0	0	0
Mdh1	68.500000	171	0	112	0	77	188	0	0	0
Lnx2	68.500000	0	0	0	0	102	446	0	0	0
Fam72a	68.500000	316	0	107	0	125	0	0	0	0
Tbc1d31	68.375000	0	0	0	0	0	547	0	0	0
Nuf2	68.375000	248	0	164	0	0	135	0	0	0
Dnajb1	68.375000	177	0	128	0	111	131	0	0	0
Atp2c1	68.375000	185	0	192	0	170	0	0	0	0
Stard10	68.250000	353	0	0	0	0	193	0	0	0
Sec23ip	68.250000	165	0	118	0	0	263	0	0	0
Sass6	68.250000	238	0	0	0	0	308	0	0	0
Rab39b	68.250000	0	0	0	0	0	546	0	0	0
Eif1	68.250000	144	0	186	0	105	111	0	0	0
Tmem129	68.125000	203	0	173	0	0	169	0	0	0
Tacc3	68.125000	203	0	173	0	0	169	0	0	0
Dcp1a	68.125000	292	0	0	0	111	142	0	0	0
Ppp2ca	68.000000	200	0	172	0	0	172	0	0	0
Myl6	68.000000	0	0	0	0	0	544	0	0	0
Gzma	68.000000	544	0	0	0	0	0	0	0	0
Dpep2	68.000000	197	0	0	0	0	211	136	0	0
Slc39a7	67.875000	215	0	179	0	149	0	0	0	0
Rxrb	67.875000	215	0	179	0	149	0	0	0	0
Clpx	67.875000	218	0	155	0	170	0	0	0	0
Xpnpep3	67.750000	254	0	0	0	0	288	0	0	0
St13	67.750000	254	0	0	0	0	288	0	0	0
Dera	67.750000	0	0	0	0	0	542	0	0	0
Snrpc	67.500000	259	0	0	0	0	281	0	0	0
Slc35a4	67.500000	167	0	164	0	0	209	0	0	0
Creb1	67.500000	210	0	0	0	0	330	0	0	0
Apbb3	67.500000	167	0	164	0	0	209	0	0	0
Tgif1	67.375000	285	0	0	0	0	254	0	0	0
Tfb2m	67.375000	187	0	112	0	94	146	0	0	0
Rfx1	67.375000	252	0	172	0	115	0	0	0	0
Galk2	67.375000	296	0	120	0	0	123	0	0	0
Cops2	67.375000	296	0	120	0	0	123	0	0	0
Cnst	67.375000	187	0	112	0	94	146	0	0	0
Zfp69	67.250000	167	0	192	0	0	179	0	0	0
Yipf2	67.250000	177	0	120	0	0	241	0	0	0
Timm29	67.250000	177	0	120	0	0	241	0	0	0
Slc26a10	67.250000	0	0	0	0	0	538	0	0	0
Rps15	67.125000	244	0	212	0	0	81	0	0	0
Dr1	67.125000	148	0	252	0	137	0	0	0	0
Senp8	67.000000	324	0	212	0	0	0	0	0	0
Rab3gap2	67.000000	224	0	173	0	139	0	0	0	0
Myo9a	67.000000	324	0	212	0	0	0	0	0	0
Kif23	67.000000	267	0	120	0	149	0	0	0	0
Gtf3c1	67.000000	207	0	252	0	77	0	0	0	0
D430042O09Rik	67.000000	207	0	252	0	77	0	0	0	0
Cdc34	67.000000	167	0	155	0	0	214	0	0	0
Zfp719	66.875000	217	0	112	0	0	206	0	0	0
Usp31	66.875000	417	0	118	0	0	0	0	0	0
Phf12	66.875000	198	0	92	0	66	179	0	0	0
Il16	66.875000	355	0	0	0	0	180	0	0	0
Gspt1	66.875000	177	0	153	0	0	205	0	0	0
Etfrf1	66.875000	159	0	128	0	0	248	0	0	0
Casc1	66.875000	159	0	128	0	0	248	0	0	0
Zfyve1	66.750000	259	0	164	0	111	0	0	0	0
Usp8	66.750000	270	0	183	0	0	81	0	0	0
Rnf38	66.750000	130	0	120	0	0	284	0	0	0
Lcp1	66.750000	227	0	0	0	0	307	0	0	0
Gtf3c2	66.750000	156	0	137	0	139	102	0	0	0
Rab5if	66.625000	130	0	173	0	102	128	0	0	0
Pax4	66.625000	0	0	0	0	0	533	0	0	0
Nudt5	66.625000	0	0	0	0	0	533	0	0	0
Mis18a	66.625000	227	0	0	0	0	306	0	0	0
Cdc123	66.625000	0	0	0	0	0	533	0	0	0
Ccdc86	66.625000	187	0	0	0	191	155	0	0	0
Gstm1	66.500000	78	0	0	0	0	454	0	0	0
Rsbn1	66.375000	236	0	183	0	0	112	0	0	0
Rom1	66.375000	112	0	0	0	0	419	0	0	0
Rab14	66.375000	278	0	112	0	0	141	0	0	0
Fam98a	66.375000	187	0	137	0	85	122	0	0	0
Eml3	66.375000	112	0	0	0	0	419	0	0	0
Eaf2	66.375000	177	0	137	123	0	94	0	0	0
Nfat5	66.250000	298	0	232	0	0	0	0	0	0
Myl6b	66.250000	193	0	164	0	0	173	0	0	0
Ppwd1	66.125000	197	0	183	0	0	149	0	0	0
Ier5	66.125000	136	88	111	0	0	194	0	0	0
Exoc4	66.125000	187	0	0	0	191	151	0	0	0
Cox5a	66.125000	187	0	164	0	0	178	0	0	0
Cenpk	66.125000	197	0	183	0	0	149	0	0	0
Arsb	66.125000	435	0	0	0	94	0	0	0	0
Scfd2	66.000000	148	0	0	0	0	380	0	0	0
Lig4	66.000000	218	0	151	0	159	0	0	0	0
Larp1	66.000000	206	0	192	0	130	0	0	0	0
Gbp3	66.000000	233	0	0	0	0	295	0	0	0
Cfap97	66.000000	157	0	183	0	85	103	0	0	0
Ccdc14	66.000000	200	0	173	0	0	155	0	0	0
Rnf7	65.875000	112	0	128	0	180	107	0	0	0
Nr3c1	65.875000	114	0	0	0	0	413	0	0	0
Spop	65.750000	155	0	0	0	0	371	0	0	0
Lbr	65.750000	176	0	0	0	159	191	0	0	0
Tbccd1	65.625000	250	0	173	0	102	0	0	0	0
Mtfmt	65.625000	0	0	146	0	0	379	0	0	0
Med4	65.625000	207	0	0	0	180	138	0	0	0
Dnajb11	65.625000	250	0	173	0	102	0	0	0	0
Srsf10	65.500000	0	0	0	0	0	524	0	0	0
Grpel1	65.500000	182	0	0	0	0	342	0	0	0
Churc1	65.500000	167	0	0	0	0	357	0	0	0
Ccdc92	65.500000	133	0	202	0	0	189	0	0	0
Usb1	65.375000	0	0	0	0	0	523	0	0	0
Tmem199	65.375000	238	0	164	0	0	121	0	0	0
St3gal4	65.375000	339	0	0	0	0	184	0	0	0
Scyl3	65.375000	0	0	112	0	0	411	0	0	0
Poldip2	65.375000	238	0	164	0	0	121	0	0	0
Msra	65.375000	166	0	88	0	0	269	0	0	0
Flvcr1	65.375000	0	0	212	0	0	311	0	0	0
Parp2	65.250000	148	125	164	0	85	0	0	0	0
Hsdl2	65.250000	200	0	137	0	0	185	0	0	0
Eloa	65.250000	0	0	0	0	77	445	0	0	0
Ccdc167	65.250000	0	0	154	0	0	368	0	0	0
Sec31a	65.125000	248	0	273	0	0	0	0	0	0
Kdm4c	65.125000	163	0	137	0	125	96	0	0	0
Batf3	65.125000	0	0	0	0	0	521	0	0	0
Ttc14	65.000000	103	0	146	0	0	271	0	0	0
Serbp1	65.000000	167	0	127	0	94	132	0	0	0
Ikzf5	65.000000	213	0	164	0	0	143	0	0	0
Gale	65.000000	243	0	183	0	94	0	0	0	0
Flad1	65.000000	227	0	173	0	0	120	0	0	0
Acadsb	65.000000	213	0	164	0	0	143	0	0	0
Srrm2	64.875000	194	0	114	0	83	128	0	0	0
Sptan1	64.875000	176	0	0	0	0	343	0	0	0
Smarcc1	64.750000	197	0	155	0	0	166	0	0	0
Ndfip1	64.750000	0	0	128	0	0	390	0	0	0
Litaf	64.625000	0	0	0	0	0	517	0	0	0
Iqgap3	64.500000	0	0	0	0	0	516	0	0	0
Enthd1	64.500000	259	0	0	0	0	257	0	0	0
Cdk17	64.500000	0	0	0	0	0	516	0	0	0
Atf4	64.500000	92	96	120	0	94	114	0	0	0
Zfp512	64.375000	179	0	163	0	97	76	0	0	0
Ska3	64.375000	0	0	0	0	0	515	0	0	0
Mrpl57	64.375000	0	0	0	0	0	515	0	0	0
Ppp1r15b	64.250000	152	0	88	0	0	274	0	0	0
Stk24	64.000000	198	0	155	0	159	0	0	0	0
Smg9	64.000000	303	0	0	0	0	209	0	0	0
Scoc	64.000000	0	0	124	0	0	388	0	0	0
Nrtn	64.000000	0	0	0	0	0	512	0	0	0
Vegfa	63.875000	141	0	0	0	0	162	208	0	0
Usp34	63.875000	255	0	112	0	0	144	0	0	0
Ube3c	63.875000	279	0	232	0	0	0	0	0	0
Thoc1	63.875000	130	0	80	0	0	301	0	0	0
Spata1	63.875000	183	0	194	0	134	0	0	0	0
Lyrm7	63.875000	187	0	222	0	102	0	0	0	0
Il12rb2	63.875000	366	0	0	0	0	145	0	0	0
Gng5	63.875000	183	0	194	0	134	0	0	0	0
Elovl1	63.875000	0	0	0	0	0	511	0	0	0
Ccdc174	63.875000	248	0	0	0	149	114	0	0	0
0610009B22Rik	63.875000	204	0	146	0	0	161	0	0	0
Psmc4	63.750000	187	0	212	0	111	0	0	0	0
Abhd13	63.750000	218	0	133	0	159	0	0	0	0
Fhit	63.625000	270	0	0	0	0	239	0	0	0
Tsga10	63.500000	167	0	95	0	94	152	0	0	0
Pole2	63.500000	0	0	0	0	0	508	0	0	0
Gbf1	63.500000	256	0	103	0	149	0	0	0	0
Cdkn2aipnl	63.500000	148	0	0	0	0	237	123	0	0
Wdr43	63.375000	348	0	0	0	159	0	0	0	0
Rlim	63.375000	0	0	0	0	0	507	0	0	0
Akirin2	63.375000	227	0	120	0	0	160	0	0	0
Tpst2	63.250000	288	0	0	0	94	124	0	0	0
Rab11b	63.250000	256	0	0	0	120	130	0	0	0
Zfp341	63.125000	350	0	155	0	0	0	0	0	0
Srxn1	63.125000	98	0	0	0	0	407	0	0	0
Nfatc2ip	63.000000	238	0	155	0	111	0	0	0	0
H2bc8	63.000000	203	109	113	0	79	0	0	0	0
H2ac8	63.000000	203	109	113	0	79	0	0	0	0
Fech	63.000000	0	0	0	0	0	504	0	0	0
Fbrsl1	63.000000	0	0	0	0	0	504	0	0	0
Cxcr6	63.000000	0	0	0	0	0	504	0	0	0
Cenph	63.000000	0	0	0	0	0	504	0	0	0
Rabif	62.875000	181	0	192	0	130	0	0	0	0
Hivep1	62.875000	163	0	126	0	0	214	0	0	0
H2ac21	62.875000	242	159	102	0	0	0	0	0	0
Rps8	62.750000	97	0	118	0	0	287	0	0	0
Gpr19	62.750000	194	0	153	0	0	155	0	0	0
Nisch	62.625000	148	0	95	0	0	258	0	0	0
Hoxb4	62.625000	0	0	0	0	0	501	0	0	0
Fyco1	62.625000	158	0	164	0	0	179	0	0	0
Erlin2	62.625000	217	0	173	0	111	0	0	0	0
Gimap3	62.500000	0	0	0	0	0	500	0	0	0
Ylpm1	62.375000	207	0	137	0	0	155	0	0	0
Ubp1	62.375000	276	0	139	0	0	84	0	0	0
Sprtn	62.375000	177	0	192	0	130	0	0	0	0
Exoc8	62.375000	177	0	192	0	130	0	0	0	0
Slco2b1	62.250000	0	0	0	0	0	498	0	0	0
Serpinb6b	62.250000	245	0	0	0	0	253	0	0	0
Oip5	62.250000	157	0	0	0	0	341	0	0	0
Nusap1	62.250000	157	0	0	0	0	341	0	0	0
Itfg2	62.250000	0	0	0	0	0	498	0	0	0
Rbm15	62.125000	162	0	95	0	97	143	0	0	0
Ddx41	62.125000	259	0	146	0	0	92	0	0	0
Wdfy2	62.000000	223	0	117	0	0	156	0	0	0
Pprc1	62.000000	139	0	0	0	0	357	0	0	0
Ilrun	62.000000	177	0	112	0	0	207	0	0	0
Clec2d	62.000000	177	95	126	0	0	98	0	0	0
Brpf1	62.000000	129	0	137	0	0	230	0	0	0
Vps26c	61.875000	226	0	113	0	0	156	0	0	0
Ubn1	61.875000	187	0	173	0	0	135	0	0	0
Ppm1g	61.875000	0	0	137	0	0	358	0	0	0
Glyr1	61.875000	187	0	173	0	0	135	0	0	0
Fus	61.875000	128	0	103	0	0	264	0	0	0
Arhgef4	61.875000	0	0	0	0	0	495	0	0	0
Abracl	61.875000	0	0	0	0	0	495	0	0	0
Vps13d	61.750000	0	0	0	0	0	345	149	0	0
Sgms2	61.750000	0	0	0	0	0	494	0	0	0
Rrm1	61.750000	292	0	0	0	0	202	0	0	0
Nhp2	61.750000	0	0	0	0	0	494	0	0	0
Ndufa8	61.750000	0	0	160	0	0	334	0	0	0
Morn5	61.750000	0	0	160	0	0	334	0	0	0
Golph3l	61.750000	227	0	128	0	139	0	0	0	0
Glipr1	61.750000	386	0	108	0	0	0	0	0	0
Tent2	61.625000	310	0	183	0	0	0	0	0	0
Nkiras2	61.625000	165	0	137	0	0	191	0	0	0
Klf9	61.625000	128	0	0	0	0	365	0	0	0
H2ac19	61.625000	172	0	190	0	0	131	0	0	0
H2ac18	61.625000	172	0	190	0	0	131	0	0	0
Dhx8	61.625000	248	0	155	0	0	90	0	0	0
Suco	61.375000	299	0	103	0	0	89	0	0	0
Pop7	61.375000	308	0	183	0	0	0	0	0	0
Mcrip1	61.375000	122	0	0	0	0	369	0	0	0
Carmil1	61.375000	0	0	0	0	0	491	0	0	0
Ubn2	61.250000	118	0	0	0	130	242	0	0	0
Pdcd1	61.250000	0	0	0	0	0	490	0	0	0
Pcmtd1	61.250000	196	0	164	0	130	0	0	0	0
Ldlrad4	61.250000	242	0	0	0	0	248	0	0	0
Zfp607b	61.125000	139	0	0	0	0	350	0	0	0
Ube2v1	61.000000	202	0	72	0	85	129	0	0	0
Fbxw7	61.000000	276	0	212	0	0	0	0	0	0
Casc3	61.000000	157	0	192	0	0	139	0	0	0
Acap2	61.000000	0	0	137	0	111	240	0	0	0
Srp19	60.875000	167	0	171	0	149	0	0	0	0
Sos2	60.875000	234	0	0	0	0	253	0	0	0
Etfdh	60.875000	157	0	120	0	85	125	0	0	0
4930579G24Rik	60.875000	157	0	120	0	85	125	0	0	0
Skil	60.750000	125	0	0	0	0	361	0	0	0
Ppp2r1a	60.750000	160	0	88	0	0	238	0	0	0
Picalm	60.750000	225	0	147	0	0	114	0	0	0
Irgm2	60.750000	243	0	0	0	0	243	0	0	0
H2bc6	60.750000	139	141	206	0	0	0	0	0	0
D930020B18Rik	60.750000	0	0	0	0	0	486	0	0	0
Zfp65	60.625000	0	0	0	0	0	485	0	0	0
Sys1	60.625000	187	0	146	0	0	152	0	0	0
Raf1	60.625000	180	0	146	0	159	0	0	0	0
Nampt	60.625000	130	0	183	0	0	172	0	0	0
Ing3	60.625000	228	0	155	0	102	0	0	0	0
Utp14b	60.500000	0	0	155	0	0	329	0	0	0
Lcmt1	60.500000	177	0	0	0	202	105	0	0	0
Krcc1	60.500000	237	0	154	0	0	93	0	0	0
Gnaq	60.500000	0	0	0	0	0	484	0	0	0
Acsl3	60.500000	0	0	155	0	0	329	0	0	0
Rrp8	60.375000	139	0	164	0	180	0	0	0	0
Rpl18a	60.375000	175	0	164	0	0	144	0	0	0
Pin1	60.375000	139	0	137	0	102	105	0	0	0
Ilk	60.375000	139	0	164	0	180	0	0	0	0
Tmem184c	60.125000	217	0	155	0	0	109	0	0	0
Pccb	60.125000	0	0	0	0	0	336	0	145	0
Mtrex	60.125000	197	0	164	0	120	0	0	0	0
Mapkapk5	60.125000	326	0	155	0	0	0	0	0	0
Dhx29	60.125000	197	0	164	0	120	0	0	0	0
Cops7a	60.125000	207	0	173	0	0	101	0	0	0
Utp3	60.000000	272	0	95	0	0	113	0	0	0
Nop14	60.000000	217	0	173	0	0	90	0	0	0
Grk4	60.000000	217	0	173	0	0	90	0	0	0
Fam227b	60.000000	99	0	114	0	130	137	0	0	0
Dtwd1	60.000000	99	0	114	0	130	137	0	0	0
Zc3h13	59.750000	167	0	0	0	0	311	0	0	0
Rnf157	59.750000	478	0	0	0	0	0	0	0	0
Pafah1b1	59.750000	186	0	197	0	0	95	0	0	0
Mex3c	59.750000	103	0	97	0	0	278	0	0	0
Tubg1	59.625000	235	0	242	0	0	0	0	0	0
Retreg3	59.625000	235	0	242	0	0	0	0	0	0
Otud6b	59.625000	165	0	173	0	139	0	0	0	0
Usp39	59.500000	0	0	0	0	0	476	0	0	0
Snrnp200	59.500000	207	0	146	0	0	123	0	0	0
Ercc1	59.500000	0	0	0	0	0	476	0	0	0
Donson	59.500000	154	0	173	0	149	0	0	0	0
1810024B03Rik	59.500000	207	0	146	0	0	123	0	0	0
Vcpip1	59.375000	270	0	0	0	111	94	0	0	0
Med7	59.375000	186	0	0	0	0	289	0	0	0
H2bc4	59.375000	217	0	138	0	120	0	0	0	0
H2ac6	59.375000	217	0	138	0	120	0	0	0	0
Bcl7b	59.375000	177	0	155	0	0	143	0	0	0
Ypel4	59.250000	0	0	0	0	0	474	0	0	0
Trappc8	59.250000	207	0	137	0	130	0	0	0	0
Tor1aip2	59.250000	182	0	172	0	120	0	0	0	0
Tor1aip1	59.250000	182	0	172	0	120	0	0	0	0
Metap1	59.250000	217	0	137	0	120	0	0	0	0
Arap2	59.250000	0	0	0	0	0	474	0	0	0
Akt1	59.250000	0	0	0	0	0	474	0	0	0
Ppp6r1	59.125000	138	0	196	0	139	0	0	0	0
Pomt1	59.125000	223	0	0	0	0	250	0	0	0
Mbd3	59.125000	91	0	263	0	119	0	0	0	0
Gltp	59.125000	0	0	0	0	77	396	0	0	0
Creld2	59.125000	198	0	155	0	120	0	0	0	0
Alg12	59.125000	198	0	155	0	120	0	0	0	0
Slc17a5	59.000000	0	0	183	0	0	289	0	0	0
Sh2b3	59.000000	0	0	0	0	0	472	0	0	0
Mrps16	59.000000	138	0	112	0	0	222	0	0	0
Cdc23	59.000000	259	0	0	0	213	0	0	0	0
Zfp595	58.875000	0	0	0	0	0	471	0	0	0
Zfp24	58.875000	0	0	0	0	0	471	0	0	0
M6pr	58.875000	91	0	122	0	0	258	0	0	0
Fam168b	58.875000	206	0	137	0	0	128	0	0	0
Nsd3	58.750000	124	0	182	0	0	164	0	0	0
Tpd52l2	58.625000	278	0	0	0	191	0	0	0	0
Rbis	58.625000	139	0	164	0	0	166	0	0	0
G3bp2	58.625000	152	0	146	0	0	171	0	0	0
2610507B11Rik	58.625000	202	0	103	0	0	164	0	0	0
Top1	58.500000	108	0	137	0	0	223	0	0	0
Oxsr1	58.500000	211	0	109	0	0	148	0	0	0
Opn3	58.500000	0	0	0	0	0	468	0	0	0
Oard1	58.500000	215	0	130	0	0	123	0	0	0
Nfya	58.500000	215	0	130	0	0	123	0	0	0
Fis1	58.500000	0	0	0	0	0	468	0	0	0
Socs5	58.375000	107	0	146	0	0	214	0	0	0
Slc9a1	58.375000	167	0	173	0	0	127	0	0	0
Osbpl8	58.375000	176	0	0	0	0	291	0	0	0
Septin2	58.250000	205	0	181	0	0	80	0	0	0
Psmd5	58.250000	0	0	232	0	0	234	0	0	0
Hdlbp	58.250000	205	0	181	0	0	80	0	0	0
A430005L14Rik	58.250000	156	0	112	0	0	198	0	0	0
Kmt2a	58.125000	328	0	137	0	0	0	0	0	0
Hnrnpu	58.125000	163	150	152	0	0	0	0	0	0
Elf4	58.000000	0	0	0	0	0	464	0	0	0
Tagln2	57.875000	316	0	147	0	0	0	0	0	0
Clic4	57.875000	202	0	161	0	100	0	0	0	0
Chst11	57.875000	0	0	0	0	0	463	0	0	0
Ube2n	57.750000	177	0	155	0	130	0	0	0	0
Dhrs7b	57.750000	270	0	192	0	0	0	0	0	0
Aasdh	57.750000	167	0	146	0	149	0	0	0	0
Xrn1	57.625000	95	0	0	0	0	247	119	0	0
Tbc1d23	57.625000	269	0	192	0	0	0	0	0	0
Ppp1r15a	57.625000	0	0	164	0	0	297	0	0	0
Plekha4	57.625000	0	0	164	0	0	297	0	0	0
Kcnk10	57.625000	0	0	0	0	0	461	0	0	0
Jak3	57.625000	0	0	0	0	0	461	0	0	0
Slc39a9	57.500000	332	0	128	0	0	0	0	0	0
